Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
6911122,"Apr 1, 2012, 12:48:23 PM","04/01/2012 Espoo, Finland, Uusimaa, Finland",Ride,,6846,40.76,151.0,52.0,False,,Cannondale Flash Carbon 29'er 3,activities/8116356.tcx.gz,82.0,11.0,6846.0,6769.0,40760.7,12.404,,953.8,955.0,6.0,82.1,52.4,0.0,,,,,151.0,129.0,,244.0,1841.0,,,52.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,142500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532599871,"Apr 1, 2016, 2:07:55 PM",Afternoon Ride,Ride,,3537,19.80,155.0,27.0,False,,Cannondale Flash Carbon 29'er 3,activities/585331979.fit.gz,81.0,11.5,3537.0,3537.0,19804.6,14.1,,300.0,252.0,7.6,72.6,18.7,0.2,,,98.0,81.0,155.0,131.0,,196.0,772.0,,2.0,27.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,142500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923472561,"Apr 1, 2017, 2:35:01 PM",Afternoon Run,Run,V. 2.72 beta testauksessa. Pelaa. ,3846,10.64,151.0,27.0,False,,Saucony kinvara 5,activities/1023308912.fit.gz,81.0,,3846.0,3806.0,10645.2,4.2,,102.0,99.0,27.0,53.0,20.5,0.0,,,98.0,81.0,151.0,136.0,,,1080.0,,11.0,27.0,,,,,,,,,,,,,0.0,,,10855.7,,,,,,,,,,,,,,,,1040628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/DA3010DA-8C99-4BB1-826C-FB887FC48D55.jpg|media/0CA06149-B90C-4E30-AC12-B0AE6EEEBA10.jpg
1483646139,"Apr 1, 2018, 12:29:45 PM",Afternoon Run,Run,,5088,10.00,154.0,40.0,False,,Salomon Speedspike CS Speedspike CS,activities/1598509058.fit.gz,82.5,,5088.0,4209.0,10006.8,4.9,,270.0,,39.4,105.6,50.0,0.1,,,128.0,77.0,154.0,138.0,,,1137.0,,15.0,40.0,,,,,,,,,,,,,0.0,,,11217.8,,,,,,,,,,,,,,,,2897806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/098C4557-6FB7-4C4C-9AEC-4044671266B1.jpg|media/E813AFC8-EEBC-4A05-A81B-4079DA587B79.jpg|media/C61E2E5A-6A78-4A15-B480-C8B59FD90E59.jpg|media/BBAA7444-2408-479C-98A2-8B32CDDED36F.jpg|media/25375D15-06B9-42A4-92C8-E3CD7A9284C2.jpg
3241468376,"Apr 1, 2020, 9:28:42 AM",Lunch Run ⛅,Run,"Mostly Cloudy, 5°C, Feels like 1°C, Humidity 59%, Wind 6m/s from W",2941,8.60,163.0,67.0,False,,HOKA Carbon X (2020),activities/3465279780.fit.gz,81.0,,2941.0,2941.0,8605.1,5.0,2.926,112.0,113.0,5.2,52.0,24.0,0.0,,,90.0,80.0,163.0,146.0,,,597.0,,17.0,67.0,,,,,,,,,,,,,0.0,,1.0,8924.9,1585731584.0,2.0,4.5,0.3,-2.4,0.61,997.1,6.0,9.9,278.0,0.0,1585712768.0,1585760768.0,0.26,,5441383.0,0.0,,0.64,16093.0,2.0,352.8,,,,,,,,,,,,,,,,,,,,,,,,,
5047875260,"Apr 1, 2021, 6:50:26 AM",Morning Ride ☀️,Ride,"Clear, 3°C, Feels like -1°C, Humidity 78%, Wind 4m/s from NW",2718,9.35,158.0,10.0,False,,Tacx Neo Bike,activities/5382255321.fit.gz,,8.0,2718.0,2128.0,9357.7,10.9,4.397,110.0,104.0,50.6,100.2,33.3,0.0,,,,,,116.0,,91.0,417.0,,20.0,10.0,,,,,,,,,,,,,0.0,,1.0,,1617256832.0,1.0,1.6,-1.9,-1.2,0.82,1011.6,3.4,7.7,310.0,0.0,1617248768.0,1617296768.0,0.65,7750451.0,,0.0,,0.04,16093.0,0.0,456.6,,9.2,3.3,,,,,,,,,,,,,,,,,,,,,,
5049072788,"Apr 1, 2021, 9:52:20 AM",Lunch Ride ☀️,Ride,"Clear, 6°C, Feels like 3°C, Humidity 64%, Wind 4m/s from WNW",8607,53.84,154.0,66.0,False,,3T Exploro Team EKAR,activities/5383520656.fit.gz,,8.0,8607.0,8033.0,53839.1,15.1,6.702,581.0,577.0,10.4,87.8,37.0,0.0,,,109.0,80.0,,128.0,,164.0,1322.0,,10.0,66.0,1326217.0,,,,,,,,184.0,8307.0,0.0,,0.0,,1.0,,1617267584.0,1.0,5.3,2.6,0.0,0.68,1011.5,3.5,5.5,303.0,0.0,1617248768.0,1617296768.0,0.65,8798499.0,,0.0,,0.15,16093.0,2.0,441.3,,,,,,,,,,,,,,,,,,,,,,,,,media/8416F815-40B7-4AF8-B377-8B5A9E8C65D3.jpg
6916315040,"Apr 1, 2022, 4:22:23 PM",Lunch Walk ⛅,Walk,"Overcast clouds, 3°C, Feels like 0°C, Humidity 68%, Wind 4m/s from W - by Klimat.app",1524,1.83,96.0,2.0,False,,HOKA Carbon X (2020),activities/7359298335.fit.gz,,,1524.0,1357.0,1829.3,3.017,1.348,11.0,14.0,123.6,134.2,27.4,-0.1,,,79.0,54.0,,79.0,,,125.0,,20.0,2.0,,,,,,,,,,,0.0,,0.0,,1.0,,1648828800.0,6.0,4.0,-0.8,-1.7,0.67,1005.6,6.8,10.2,275.0,0.2,1648810880.0,1648856704.0,0.03,,5441383.0,1.0,6.0,0.87,16093.0,3.0,416.5,,,,0.0,1.2,1184.0,,,,,,,,,,,,,,,,,,,
8813220233,"Apr 1, 2023, 1:01:07 PM",River Oaks Parkrun ,Run,,1468,5.10,169.0,42.0,False,,Saucony Type A8 (2019),activities/9457542753.fit.gz,,,1468.0,1468.0,5099.9,4.372,3.474,22.0,22.0,147.8,152.4,9.7,0.0,,,95.0,84.0,,158.0,,413.0,408.0,,,42.0,605305.0,,,,,,,,408.0,1469.0,0.0,,0.0,,1.0,5163.1,1680354048.0,8.0,8.9,5.5,6.7,0.86,993.5,7.1,13.4,240.0,0.0,1680346880.0,1680392704.0,0.375,,4226370.0,0.97,5.0,0.09,26142.1,1.0,,,,,0.0,3.474,0.0,,,,4088.0,,,,,,,,,,,,,,,
8814523113,"Apr 1, 2023, 3:18:35 PM",Lunch Walk,Walk,,4054,5.77,122.0,10.0,False,,,activities/9458912638.fit.gz,,,4054.0,3924.0,5778.3,2.464,1.473,49.0,41.0,72.4,85.0,47.1,0.1,,,108.0,55.0,,105.0,,,428.0,,,10.0,,,,,,,,,,,0.0,,0.0,,1.0,,1680361216.0,2.0,13.2,12.3,5.8,0.61,993.6,5.2,13.9,238.0,0.0,1680346880.0,1680392704.0,0.375,,,0.96,5.0,0.38,29659.9,3.0,,,,,0.0,1.425,2794.9,,,,6756.0,,,,,,,,,,,,,,,
